"Author, Year",Outcome Name,Outcome Measure(s),Outcome Arms Compared,Treatment Definition,Outcome,Value,Effect Size,95% CI,p-value,"[Effect size (95% CI), p-value]"
"Jindani, 2015",Sleep,ISI,B vs A,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Jindani, 2015",Sleep,ISI,B vs A,Partial eta-squared,End of Treatment,"Partial eta-squared 0.18 (NR), p<0.05 (note: B lower than A)",0.18,NR,p<0.05 (note: B lower than A)," 0.18 (NR), p<0.05 (note: B lower than A)"
"Jindani, 2015",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Jindani, 2015",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Jindani, 2015",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Jindani, 2015",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Depression,BDI,Completer: A vs B,Cohen's d,End of Treatment,"Cohen's d 0.96 (-2.40 to 5.38), p<0.05",0.96,-2.40 to 5.38,p<0.05," 0.96 (-2.40 to 5.38), p<0.05"
"Johnson, 2011",Depression,BDI,Completer: A vs B,NA,6 to <12 Months After Treatment,NR,NR,NR,NR,NR
"Johnson, 2011",Depression,BDI,Completer: A vs B,NA,<6 Months After Treatment,NR,NR,NR,NR,NR
"Johnson, 2011",Depression,BDI,ITT: A vs B,Cohen's d,End of Treatment,"Cohen's d 0.94 (-2.21 to 4.10), p<0.01",0.94,-2.21 to 4.10,p<0.01," 0.94 (-2.21 to 4.10), p<0.01"
"Johnson, 2011",Depression,BDI,ITT: A vs B,NA,6 to <12 Months After Treatment,NR,NR,NR,NR,NR
"Johnson, 2011",Depression,BDI,ITT: A vs B,NA,<6 Months After Treatment,NR,NR,NR,NR,NR
"Johnson, 2011",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Johnson, 2011",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Depression,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Depression,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Depression,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Depression,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Johnson, 2018",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Jung, 2013",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Anxiety,HADS - Anxiety,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Anxiety,HADS - Anxiety,A vs B,NA,End of Treatment,NR,NR,NR,NR,NR
Karatzias 2011,Anxiety,HADS - Anxiety,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Depression,HADS - Depression,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Depression,HADS - Depression,A vs B,NA,End of Treatment,NR,NR,NR,NR,NR
Karatzias 2011,Depression,HADS - Depression,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
Karatzias 2011,Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Anxiety,BSI-18 - Anxiety,A vs B vs C (omnibus),Group x Time interaction: ,End of Treatment,"Group x Time interaction: NR (NR), p<0.01 (A and B greater decreases vs C)",NR ,NR,p<0.01 (A and B greater decreases vs C),"NR (NR), p<0.01 (A and B greater decreases vs C)"
"Katz, 2014",Anxiety,BSI-18 - Anxiety,A vs B vs C (omnibus),NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Anxiety,BSI-18 - Anxiety,A vs B vs C (omnibus),NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Anxiety,BSI-18 - Anxiety,A vs B vs C (omnibus),NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Depression,BSI-18 - Depression,A vs B vs C (omnibus),Group x Time interaction: ,End of Treatment,"Group x Time interaction: NR (NR), p=0.057",NR ,NR,p=0.057,"NR (NR), p=0.057"
"Katz, 2014",Depression,BSI-18 - Depression,A vs B vs C (omnibus),NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Depression,BSI-18 - Depression,A vs B vs C (omnibus),NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Depression,BSI-18 - Depression,A vs B vs C (omnibus),NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Katz, 2014",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Anxiety,Fear Survey Schedule,A vs B,NA,End of Treatment,"NR (NR), p<0.001",NR ,NR,p<0.001,"NR (NR), p<0.001"
"Keane, 1989",Anxiety,STAI-S,A vs B,Group x Time interaction: ,End of Treatment,"Group x Time interaction: NR (NR), p<0.05",NR ,NR,p<0.05,"NR (NR), p<0.05"
"Keane, 1989",Anxiety,STAI-T,A vs B,Group x Time interaction: ,End of Treatment,"Group x Time interaction: NR (NR), p=NS",NR ,NR,p=NS,"NR (NR), p=NS"
"Keane, 1989",Depression,BDI,A vs B,Group x Time interaction: ,End of Treatment,"Group x Time interaction: NR (NR), p<0.05",NR ,NR,p<0.05,"NR (NR), p<0.05"
"Keane, 1989",Depression,Zung Depression Scale,A vs B,Group x Time interaction: ,End of Treatment,"Group x Time interaction: NR (NR), p<0.08",NR ,NR,p<0.08,"NR (NR), p<0.08"
"Keane, 1989",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Keane, 1989",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Kearney, 2013",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Anxiety,STAI-S,A vs B ,Cohen's d,End of Treatment,"Cohen's d 1.02 (NR), p<0.05",1.02,NR,p<0.05," 1.02 (NR), p<0.05"
"Kent, 2011",Anxiety,STAI-S,A vs B ,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Anxiety,STAI-S,A vs B ,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Anxiety,STAI-S,A vs B ,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Depression,BDI-II,A vs B ,Cohen's d,End of Treatment,"Cohen's d 1.25 (NR), p<0.05",1.25,NR,p<0.05," 1.25 (NR), p<0.05"
"Kent, 2011",Depression,BDI-II,A vs B ,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Depression,BDI-II,A vs B ,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Depression,BDI-II,A vs B ,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Functioning,SF-36 - Social Role Functioning,A vs B,Cohen's d,End of Treatment,"Cohen's d 0.68 (NR), p<0.05",0.68,NR,p<0.05," 0.68 (NR), p<0.05"
"Kent, 2011",Functioning,SF-36 - Vitality,A vs B,Cohen's d,End of Treatment,"Cohen's d 0.96 (NR), p<0.05",0.96,NR,p<0.05," 0.96 (NR), p<0.05"
"Kent, 2011",Quality of Life,Psychological Well-Being Scale - Purpose in Life + Positive Relations with Others + Personal Growth (sum of subscales),A vs B ,Cohen's d,End of Treatment,"Cohen's d 1.30 (NR), p<0.05",1.3,NR,p<0.05," 1.30 (NR), p<0.05"
"Kent, 2011",Quality of Life,Psychological Well-Being Scale - Purpose in Life + Positive Relations with Others + Personal Growth (sum of subscales),A vs B ,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Quality of Life,Psychological Well-Being Scale - Purpose in Life + Positive Relations with Others + Personal Growth (sum of subscales),A vs B ,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Quality of Life,Psychological Well-Being Scale - Purpose in Life + Positive Relations with Others + Personal Growth (sum of subscales),A vs B ,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Kent, 2011",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"King, 2016",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"King, 2016",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Depression,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Depression,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Depression,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"King, 2016",Depression,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"King, 2016",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"King, 2016",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"King, 2016",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"King, 2016",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016b",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016b",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016b",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"King, 2016b",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016b",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016b",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016b",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"King, 2016b",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016b",Depression,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016b",Depression,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016b",Depression,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"King, 2016b",Depression,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016b",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016b",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016b",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"King, 2016b",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"King, 2016b",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
